Priorytet;Firma;Miasto;Telefon;Email;Osoba decyzyjna;Status strony;Strona lub profil;Dlaczego warto zadzwonić;Sygnał aktywności;Źródło;Status kontaktu;Dzwoniono;Następny kontakt;Notatki
A;Anna Nowicka Nieruchomości;Strzelin;+48 667 080 945;annanowicka.nieruchomosci@interia.pl;Anna Nowicka;Brak własnej strony wykrytej;Profil na portalu nieruchomości;Firma aktywnie publikuje oferty, ale działa głównie przez zewnętrzny portal. Najmocniejszy argument: własna domena, panel ofert i niezależne pozyskiwanie zapytań.;Aktywne ogłoszenia, udział w akcji branżowej;https://pfrn.pl/posrednik/9970;Nowy;Nie;;
A;MAJLUX Biuro Nieruchomości;Warszawa;+48 608 230 540;;Właściciel biura;Brak strony wskazanej w profilu branżowym;Profil PPRN;Firma świadczy usługi w kilku województwach, ale w profilu branżowym nie wskazuje własnej strony. Można proponować prostą stronę z ofertami i formularzem pozyskiwania nieruchomości.;Publiczny profil branżowy i telefon;https://pprn.pl/wizytowka/majlux-biuro-nieruchomosci/;Nowy;Nie;;
A;City Biuro Nieruchomości;Zambrów;+48 500 539 885 / +48 502 162 798;city.biuro@vp.pl;Właściciel biura;Brak strony wskazanej w profilu branżowym;Profil PPRN;Biuro oferuje sprzedaż, wynajem i zarządzanie nieruchomościami, ale nie ma wskazanej własnej strony. Dobry lead pod stronę lokalną z katalogiem ofert.;Aktywny zakres usług i dwa numery telefonu;https://pprn.pl/wizytowka/city-biuro-nieruchomosci/;Nowy;Nie;;
A;BON UPDATE Zarządzanie i Pośrednictwo;Poznań;+48 793 510 203 / +48 530 500 517;biuro@updt.pl;Małgorzata Mazurczyk;Brak strony wskazanej w profilu branżowym;Profil PPRN;Firma łączy zarządzanie i sprzedaż nieruchomości, ale nie ma wskazanej własnej witryny. Można sprzedać stronę rozdzielającą obie usługi i zbierającą zgłoszenia.;Dwa numery telefonu i aktywne usługi;https://pprn.pl/wizytowka/bon-update-zarzadzanie-i-posrednictwo/;Nowy;Nie;;
A;OPEN Nieruchomości;Warszawa;+48 601 849 867;;Właściciel biura;Brak strony wskazanej w profilu branżowym;Profil PPRN;Firma komunikuje doświadczenie w sprzedaży dużych nieruchomości, ale nie ma wskazanej własnej strony. Silny argument: pokazanie realizacji i kompetencji w jednym miejscu.;Publiczny profil i bezpośredni telefon;https://pprn.pl/wizytowka/open-nieruchomosci/;Nowy;Nie;;
A;Pośrednictwo w obrocie nieruchomości;Warszawa;+48 507 406 260;zylik@op.pl;Właściciel biura;Brak strony wskazanej w profilu branżowym;Profil PPRN;Firma łączy pośrednictwo ze świadectwami energetycznymi, ale nie ma własnej witryny. Można zbudować prostą stronę usługową pozyskującą dwa typy zapytań.;Telefon, email i dodatkowa usługa;https://pprn.pl/wizytowka/posrednictwo-w-obrocie-nieruchomosci/;Nowy;Nie;;
A;Nieruchomości Mirage;Kraków;+48 543 082 487;;Właściciel biura;Tylko subdomena i profil osobisty na Facebooku;http://nieruchomosci.mirage.pl;Firma działa przez subdomenę innej marki, a profil społecznościowy jest profilem osobistym. Konkretny argument: samodzielna marka, własna domena i profesjonalny formularz.;Publiczny telefon i aktywne pośrednictwo;https://pprn.pl/wizytowka/nieruchomosci-mirage-licencjonowane-biuro-nieruchomosci/;Nowy;Nie;;
A;Biuro Nieruchomości DOMKAR;Bytom / Zabrze;+48 692 961 672;;Właściciel biura;Tylko profil na Gratka;https://domkar.gratka.pl;Firma nie ma niezależnej strony, tylko profil na portalu. Najmocniejszy argument: uniezależnienie marki od portalu i własne formularze dla sprzedających.;Kilka numerów i pełny zakres pośrednictwa;https://pprn.pl/wizytowka/biuro-nieruchomosci-domkar/;Nowy;Nie;;
A;Biuro Nieruchomości RENTIER;Jaworzno;+48 503 553 126;;Partnerzy biura;Tylko profil na Gratka;https://rentier.gratka.pl;Biuro deklaruje kilkaset transakcji i szerokie usługi, ale korzysta wyłącznie z profilu portalowego. Dobry lead pod własną stronę ekspercką.;Długoletnie doświadczenie i aktywna działalność;https://pprn.pl/wizytowka/biuro-nieruchomosci-rentier/;Nowy;Nie;;
A;GB/WB Nieruchomości Doradztwo i Pośrednictwo;Warszawa;+48 501 164 702 / +48 501 126 571;wbn@wp.pl / gb_n@wp.pl;Właściciele biura;Tylko profil na Otodom;https://www.wbn.otodom.pl;Firma obsługuje klientów z Polski i zagranicy, ale nie ma niezależnej strony. Można zaoferować własną domenę, wersję językową i formularz kwalifikujący.;Kilka numerów i klientów zagranicznych;https://pprn.pl/wizytowka/gbwb-nieruchomosci-doradztwo-i-posrednictwo/;Nowy;Nie;;
